Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review,Additional Authors,Ratings Count,Shelf,Genre,Format,Series / Section,Volume,Pages,Awards,Notes
The Robots of Dawn,"Asimov, Isaac",,,,Bantam,Paperback,1983,,,,,fiction science-fiction mystery-and-crime,,,,fiction,Science Fiction; Mystery & Crime,Series volume,Robot,4,419,,
Robots and Empire,"Asimov, Isaac",,,,Bantam,Paperback,1985,,,,,fiction science-fiction mystery-and-crime,,,,fiction,Science Fiction; Mystery & Crime,Series volume,Robot,5,383,,
Thieves' World,"Asprin, Robert Lynn",,,,Ace,Mass Market Paperback,1979,,,,,fiction fantasy short-stories,,,,fiction,Fantasy; Short Stories,Anthology,Thieves' World,1,307,,"Shared-world anthology edited by Asprin, not a novel. Counted as one work."
Pride and Prejudice,"Austen, Jane",,,,Penguin,,2003,,,,,fiction classics romance,,,,fiction,Classics; Romance,Standalone,,,435,,Page counts range roughly 279–480 depending on trim size and apparatus.
The Damnation Game,"Barker, Clive",,,,Ace,Paperback,1985,,,,,fiction horror,,,,fiction,Horror,Standalone,,,434,,
The Hellbound Heart,"Barker, Clive",,,,HarperCollins,Paperback,1986,,,,,fiction horror,,,,fiction,Horror,Standalone,,,164,,Novella. Originally published in the Night Visions 3 anthology.
The Last Unicorn,"Beagle, Peter S.",,,,Roc,Paperback,1968,,,,,fiction fantasy,,,,fiction,Fantasy,Standalone,,,294,,
Son of the Slob,"Beauregard, Aron",,,,,,2022,,,,,fiction horror,,,,fiction,Horror,Series volume,The Slob,2,,,Independently published extreme horror. No stable print bibliographic record; page count not established.
The Slob,"Beauregard, Aron",,,,,,2021,,,,,fiction horror,,,,fiction,Horror,Series volume,The Slob,1,,,Independently published extreme horror. No stable print bibliographic record; page count not established.
The Long Ships,"Bengtsson, Frans G.",,,,New York Review Books,,2010,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Standalone,,,503,,Translated from Swedish. The NYRB edition restores the complete text.
The Demolished Man,"Bester, Alfred",,,,Vintage,Paperback,1953,,,,,fiction science-fiction mystery-and-crime,,,,fiction,Science Fiction; Mystery & Crime,Standalone,,,250,"Hugo, Best Novel (1953) — the first Hugo ever awarded",
The Willows,"Blackwood, Algernon",,,,,,1907,,,,,fiction horror classics,,,,fiction,Horror; Classics,Standalone,,,60,,A long short story. Standalone printings run 48–96 pp; it is more usually read inside a collection.
Fahrenheit 451,"Bradbury, Ray",,,3.97,Simon & Schuster,,1953,,,,,fiction science-fiction dystopian classics,,,2866000,fiction,Science Fiction; Dystopian; Classics,Standalone,,,249,"Retro Hugo, Best Novel (1954, awarded 2004); Prometheus Hall of Fame (1984)",Ballantine printings run as short as 158 pp; the S&S edition adds apparatus.
Something Wicked This Way Comes,"Bradbury, Ray",,,,Simon & Schuster,Paperback,1962,,,,,fiction fantasy horror,,,,fiction,Fantasy; Horror,Standalone,,,293,,
The Illustrated Man,"Bradbury, Ray",,,,Simon & Schuster,Paperback,1951,,,,,fiction science-fiction short-stories,,,,fiction,Science Fiction; Short Stories,Story collection,,,288,,"Eighteen linked short stories. A single-volume collection, not an omnibus."
Wuthering Heights,"Brontë, Emily",,,,Penguin,,1847,,,,,fiction classics romance,,,,fiction,Classics; Romance,Standalone,,,416,,
The Sword of Shannara,"Brooks, Terry",,,,Del Rey,Paperback,1977,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Shannara,1,726,,
The Elfstones of Shannara,"Brooks, Terry",,,,Del Rey,Paperback,1982,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Shannara,2,469,,
The Wishsong of Shannara,"Brooks, Terry",,,,Del Rey,Paperback,1985,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,Shannara,3,499,,
Between Two Fires,"Buehlman, Christopher",,,,Ace,Paperback,2012,,,,,fiction horror historical-fiction,,,,fiction,Horror; Historical Fiction,Standalone,,,416,,
Barsoom Series,"Burroughs, Edgar Rice",,,,,ebook,,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Omnibus file,Barsoom,1–11,1984,,"The Barsoom canon is eleven volumes. The last, John Carter of Mars, contains two novellas whose authorship is disputed — 'Skeleton Men of Jupiter' is Burroughs, 'John Carter and the Giant of Mars' is generally credited to his son. Component counts are typical Ballantine/Del Rey paperbacks and vary widely between reprint houses."
Pellucidar Series,"Burroughs, Edgar Rice",,,,,ebook,,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Omnibus file,Pellucidar,1–7,1328,,"Seven volumes. Tarzan at the Earth's Core is also a Tarzan novel, so it sits in two series at once."
Tarzan of the Apes,"Burroughs, Edgar Rice",,,,Penguin,,1912,,,,,fiction adventure classics,,,,fiction,Adventure; Classics,Series volume,Tarzan,1,288,,
The Dresden Files Collection 1 (1-6),"Butcher, Jim",,,,Roc,ebook,2011,,,,,fiction fantasy mystery-and-crime,,,,fiction,Fantasy; Mystery & Crime,Omnibus file,The Dresden Files,1–6,2218,,"Digital bundle of the first six novels; no physical omnibus edition exists, so there is no print page count for the collection itself. Components are Roc mass-market paperbacks."
Frozen Hell,"Campbell, John W.",,,,Wildside Press,,2019,,,,,fiction science-fiction horror,,,,fiction,Science Fiction; Horror,Standalone,,,208,,The complete original novel from which 'Who Goes There?' was cut down. Rediscovered in 2018.
Who Goes There?,"Campbell, John W.",,,,,,1938,,,,,fiction science-fiction horror,,,,fiction,Science Fiction; Horror,Standalone,,,100,"Retro Hugo, Best Novella (1939, awarded 2014)","Novella. The abridged version of Frozen Hell — the two entries are versions of the same story, not separate works."
Ender's Game,"Card, Orson Scott",,,4.31,Tor,Paperback,1985,,,,,fiction science-fiction,,,1477000,fiction,Science Fiction,Series volume,Ender's Saga,1,324,"Nebula, Best Novel (1985); Hugo, Best Novel (1986)",The 1991 revised text is the standard one in print.
Don Quijote de la Mancha,"Cervantes, Miguel de",,,,Alfaguara / RAE,,1605/1615,,,,,fiction classics satire adventure,,,,fiction,Classics; Satire; Adventure,Standalone,,,1250,,"Spanish original text. One of four Quixote entries in the library — kept separate, since each is a different text or translation."
Don Quixote (trans. Edith Grossman),"Cervantes, Miguel de",,,,Ecco / HarperCollins,Paperback,2003,,,,,fiction classics satire adventure,,,,fiction,Classics; Satire; Adventure,Standalone,,,940,,"English translation by Edith Grossman, widely regarded as the modern standard. Separate work from the Spanish and Portuguese entries."
O engenhoso fidalgo D. Quixote de La Mancha: primeiro livro,"Cervantes, Miguel de",,,,,,1605,,,,,fiction classics satire adventure,,,,fiction,Classics; Satire; Adventure,Standalone,,,620,,"Portuguese translation, first part only. Several Brazilian and Portuguese translations circulate (Ed. 34, Penguin-Companhia, Abril); the specific translator is not identifiable from the filename, so the count is approximate."
O engenhoso fidalgo D. Quixote de La Mancha: segundo livro,"Cervantes, Miguel de",,,,,,1615,,,,,fiction classics satire adventure,,,,fiction,Classics; Satire; Adventure,Standalone,,,680,,"Portuguese translation, second part only. Same caveat as the first volume."
The King in Yellow,"Chambers, Robert W.",,,,,,1895,,,,,fiction horror short-stories,,,,fiction,Horror; Short Stories,Story collection,,,316,,"Ten stories, the first four linked by the fictional play. A single-volume collection."
The Long Goodbye,"Chandler, Raymond",,,,Vintage,Paperback,1953,,,,,fiction mystery-and-crime,,,,fiction,Mystery & Crime,Series volume,Philip Marlowe,6,379,"Edgar Award, Best Novel (1955)",
The Big Sleep,"Chandler, Raymond",,,,Vintage,Paperback,1939,,,,,fiction mystery-and-crime,,,,fiction,Mystery & Crime,Series volume,Philip Marlowe,1,231,,
Never Deal with a Dragon,"Charrette, Robert N.",,,,Roc,Paperback,1990,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,Shadowrun,1,312,,
Choose Your Enemies Carefully,"Charrette, Robert N.",,,,Roc,Paperback,1991,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,Shadowrun,2,312,,
Find Your Own Truth,"Charrette, Robert N.",,,,Roc,Paperback,1991,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,Shadowrun,3,344,,
Murder on the Orient Express,"Christie, Agatha",,,,William Morrow,Paperback,1934,,,,,fiction mystery-and-crime classics,,,,fiction,Mystery & Crime; Classics,Series volume,Hercule Poirot,10,274,,
And Then There Were None,"Christie, Agatha",,,,William Morrow,Paperback,1939,,,,,fiction mystery-and-crime thriller classics,,,,fiction,Mystery & Crime; Thriller; Classics,Standalone,,,264,,"The file uses the novel's original 1939 UK title, which contains a racial slur and has not been used in print since the 1980s. Catalogued here under the title it is published under today."
The Murder of Roger Ackroyd,"Christie, Agatha",,,,William Morrow,Paperback,1926,,,,,fiction mystery-and-crime classics,,,,fiction,Mystery & Crime; Classics,Series volume,Hercule Poirot,4,288,,
2001: A Space Odyssey,"Clarke, Arthur C.",,,4.18,Roc,Paperback,1968,,,,,fiction science-fiction classics,,,344000,fiction,Science Fiction; Classics,Series volume,Space Odyssey,1,297,,
Childhood's End,"Clarke, Arthur C.",,,4.12,Del Rey,Paperback,1953,,,,,fiction science-fiction classics,,,174000,fiction,Science Fiction; Classics,Standalone,,,224,,The first chapter was rewritten in 1989 to remove dated Cold War references; both texts circulate.
Piranesi,"Clarke, Susanna",,,,Bloomsbury,Hardcover,2020,,,,,fiction fantasy literary-fiction,,,,fiction,Fantasy; Literary Fiction,Standalone,,,245,Women's Prize for Fiction (2021),
Shogun,"Clavell, James",,,,Dell,Paperback,1975,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Series volume,Asian Saga,1,1152,,"The Delacorte hardcover runs 802 pp on larger pages; the mass-market paperback is the more commonly cited 1,152."
The Poet,"Connelly, Michael",,,,Grand Central,Paperback,1996,,,,,fiction mystery-and-crime thriller,,,,fiction,Mystery & Crime; Thriller,Series volume,Jack McEvoy,1,512,,
Heart of Darkness,"Conrad, Joseph",,,,Penguin,,1899,,,,,fiction classics literary-fiction adventure,,,,fiction,Classics; Literary Fiction; Adventure,Standalone,,,96,,Novella. Editions with critical apparatus (Norton) run to 500+ pp; the text itself is under 100.
The Black Company,"Cook, Glen",,,,Tor,Paperback,1984,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,The Black Company,1,319,,
Shadows Linger,"Cook, Glen",,,,Tor,Paperback,1984,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,The Black Company,2,319,,
The White Rose,"Cook, Glen",,,,Tor,Paperback,1985,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,The Black Company,3,319,,
Sharpe's Eagle,"Cornwell, Bernard",,,,HarperCollins,Paperback,1981,,,,,fiction historical-fiction war adventure,,,,fiction,Historical Fiction; War; Adventure,Series volume,Sharpe,8,304,,Numbered 8 by internal chronology; it was the first Sharpe novel written.
The Winter King,"Cornwell, Bernard",,,,St. Martin's Griffin,Paperback,1995,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Series volume,The Warlord Chronicles,1,431,,
Enemy of God,"Cornwell, Bernard",,,,St. Martin's Griffin,Paperback,1996,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Series volume,The Warlord Chronicles,2,397,,
Excalibur,"Cornwell, Bernard",,,,St. Martin's Griffin,Paperback,1997,,,,,fiction historical-fiction adventure,,,,fiction,Historical Fiction; Adventure,Series volume,The Warlord Chronicles,3,437,,
Jurassic Park,"Crichton, Michael",,,,Ballantine,Paperback,1990,,,,,fiction science-fiction thriller,,,,fiction,Science Fiction; Thriller,Series volume,Jurassic Park,1,399,,
The Paradise Snare,"Crispin, A. C.",,,,Bantam Spectra,Paperback,1997,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Han Solo Trilogy,1,320,,
The Hutt Gambit,"Crispin, A. C.",,,,Bantam Spectra,Paperback,1997,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Han Solo Trilogy,2,336,,
Rebel Dawn,"Crispin, A. C.",,,,Bantam Spectra,Paperback,1998,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The Han Solo Trilogy,3,384,,
The Troop,"Cutter, Nick",,,,Gallery Books,Paperback,2014,,,,,fiction horror thriller,,,,fiction,Horror; Thriller,Standalone,,,358,,
Robinson Crusoe,"Defoe, Daniel",,,,Penguin,,1719,,,,,fiction classics adventure,,,,fiction,Classics; Adventure,Standalone,,,320,,
Star by Star,"Denning, Troy",,,,Del Rey,Paperback,2001,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars: The New Jedi Order,2,608,,Filename numbers it 2; in the full New Jedi Order sequence it is book 9. The library's NJO numbering appears to be the owner's own reading order.
The Man of Bronze,"Dent, Lester",,,,Bantam,Paperback,1933,,,,,fiction adventure science-fiction,,,,fiction,Adventure; Science Fiction,Series volume,Doc Savage,1,138,,Published under the house name Kenneth Robeson; Dent was the primary author.
A Tale of Two Cities,"Dickens, Charles",,,,Penguin,,1859,,,,,fiction classics historical-fiction,,,,fiction,Classics; Historical Fiction,Standalone,,,489,,
A Scanner Darkly,"Dick, Philip K.",,,,Mariner,Paperback,1977,,,,,fiction science-fiction,,,,fiction,Science Fiction,Standalone,,,220,"BSFA Award, Best Novel (1978)",
The Man in the High Castle,"Dick, Philip K.",,,3.59,Mariner,Paperback,1962,,,,,fiction science-fiction dystopian historical-fiction,,,236000,fiction,Science Fiction; Dystopian; Historical Fiction,Standalone,,,259,"Hugo, Best Novel (1963)",
Ubik,"Dick, Philip K.",,,4.11,Mariner,Paperback,1969,,,,,fiction science-fiction,,,128000,fiction,Science Fiction,Standalone,,,224,,
Lord Foul's Bane,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Chronicles of Thomas Covenant,1,496,,
The Illearth War,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Chronicles of Thomas Covenant,2,400,,
The Power That Preserves,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Chronicles of Thomas Covenant,3,400,,
The Wounded Land,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1980,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Second Chronicles of Thomas Covenant,1,500,,
The One Tree,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1982,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Second Chronicles of Thomas Covenant,2,475,,
White Gold Wielder,"Donaldson, Stephen R.",,,,Del Rey,Paperback,1983,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Second Chronicles of Thomas Covenant,3,500,,
Burning Bright,"Dowd, Tom",,,,Roc,Paperback,1994,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,Shadowrun,15,280,,
The Complete Sherlock Holmes,"Doyle, Arthur Conan",,,,Doubleday,,1930,,,,,fiction mystery-and-crime classics,,,,fiction,Mystery & Crime; Classics,Omnibus file,Sherlock Holmes,1–9,1122,,"The Doubleday one-volume Complete runs about 1,122 pp in double columns; the Bantam Classics two-volume set runs roughly 1,850 pp across both. Because typesetting differs so sharply, the omnibus figure and the component sum are not comparable."
The Count of Monte Cristo,"Dumas, Alexandre",,,,Penguin,,1844,,,,,fiction classics adventure historical-fiction,,,,fiction,Classics; Adventure; Historical Fiction,Standalone,,,1276,,The Buss translation is the standard unabridged English text. Abridged editions run under 600 pp.
The Three Musketeers,"Dumas, Alexandre",,,,Penguin,,1844,,,,,fiction classics adventure historical-fiction,,,,fiction,Classics; Adventure; Historical Fiction,Series volume,The d'Artagnan Romances,1,720,,
The Name of the Rose,"Eco, Umberto",,,,Mariner,Paperback,1980,,,,,fiction mystery-and-crime historical-fiction literary-fiction,,,,fiction,Mystery & Crime; Historical Fiction; Literary Fiction,Standalone,,,536,Strega Prize (1981); Prix Médicis étranger (1982),
Pawn of Prophecy,"Eddings, David",,,,Del Rey,Paperback,1982,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Belgariad,1,258,,
Queen of Sorcery,"Eddings, David",,,,Del Rey,Paperback,1982,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Belgariad,2,326,,
Magician's Gambit,"Eddings, David",,,,Del Rey,Paperback,1983,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Belgariad,3,305,,
Castle of Wizardry,"Eddings, David",,,,Del Rey,Paperback,1984,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Belgariad,4,375,,
Enchanters' End Game,"Eddings, David",,,,Del Rey,Paperback,1984,,,,,fiction fantasy adventure,,,,fiction,Fantasy; Adventure,Series volume,The Belgariad,5,372,,
Middlemarch,"Eliot, George",,,,Penguin,,1871,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,880,,
King's Dragon,"Elliott, Kate",,,,DAW,Paperback,1997,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Crown of Stars,1,592,,
Prince of Dogs,"Elliott, Kate",,,,DAW,Paperback,1998,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Crown of Stars,2,640,,
The Burning Stone,"Elliott, Kate",,,,DAW,Paperback,1999,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Crown of Stars,3,704,,
The Complete Malazan Book of the Fallen,"Erikson, Steven",,,,Bantam / Tor,ebook,,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Omnibus file,Malazan Book of the Fallen,1–10,11145,,"Ten novels. No single-volume print edition exists — the whole sequence runs to roughly 11,000 pages and 3.3 million words, which is beyond physical binding. Components are Bantam UK paperbacks."
The Sum of All Men,"Farland, David",,,,Tor,Paperback,1998,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Runelords,1,613,,
Brotherhood of the Wolf,"Farland, David",,,,Tor,Paperback,1999,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Runelords,2,496,,
Wizardborn,"Farland, David",,,,Tor,Paperback,2001,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Runelords,3,480,,
The Lair of Bones,"Farland, David",,,,Tor,Paperback,2003,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,The Runelords,4,464,,
2XS,"Findley, Nigel",,,,Roc,Paperback,1992,,,,,fiction science-fiction fantasy,,,,fiction,Science Fiction; Fantasy,Series volume,Shadowrun,4,279,,
The Body Snatchers,"Finney, Jack",,,,Simon & Schuster,Paperback,1955,,,,,fiction science-fiction horror thriller,,,,fiction,Science Fiction; Horror; Thriller,Standalone,,,216,,Later reissued as Invasion of the Body Snatchers with a revised ending.
Mountain Man,"Fisher, Vardis",,,,Pocket Books,Paperback,1965,,,,,fiction western historical-fiction,,,,fiction,Western; Historical Fiction,Standalone,,,372,,
The Great Gatsby,"Fitzgerald, F. Scott",,,,Scribner,Paperback,1925,,,,,fiction classics literary-fiction,,,,fiction,Classics; Literary Fiction,Standalone,,,180,,
Gone Girl,"Flynn, Gillian",,,,Crown,Paperback,2012,,,,,fiction thriller mystery-and-crime,,,,fiction,Thriller; Mystery & Crime,Standalone,,,415,,
The Pillars of the Earth,"Follett, Ken",,,,Signet,Paperback,1989,,,,,fiction historical-fiction,,,,fiction,Historical Fiction,Series volume,Kingsbridge,1,973,,
The Serpent,"Gaskell, Jane",,,,St. Martin's / Sphere,Paperback,1963,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Atlan,1,384,,"US editions split the original novel The Serpent into two volumes (The Serpent and The Dragon), which is why the sequence is sometimes counted as four books rather than five."
The Dragon,"Gaskell, Jane",,,,St. Martin's / Sphere,Paperback,1963,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Atlan,2,320,,Second half of the original novel The Serpent in US editions.
Atlan,"Gaskell, Jane",,,,St. Martin's / Sphere,Paperback,1965,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Atlan,3,320,,
The City,"Gaskell, Jane",,,,St. Martin's / Sphere,Paperback,1966,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Atlan,4,320,,
Some Summer Lands,"Gaskell, Jane",,,,St. Martin's / Sphere,Paperback,1977,,,,,fiction fantasy,,,,fiction,Fantasy,Series volume,Atlan,5,288,,
Legend,"Gemmell, David",,,,Del Rey,Paperback,1984,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,Drenai Saga,1,348,,
The King Beyond the Gate,"Gemmell, David",,,,Del Rey,Paperback,1985,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,Drenai Saga,2,288,,
Waylander,"Gemmell, David",,,,Del Rey,Paperback,1986,,,,,fiction fantasy war,,,,fiction,Fantasy; War,Series volume,Drenai Saga,3,320,,
A Great Deliverance,"George, Elizabeth",,,,Bantam,Paperback,1988,,,,,fiction mystery-and-crime,,,,fiction,Mystery & Crime,Series volume,Inspector Lynley,1,432,"Anthony Award, Best First Novel (1989); Agatha Award, Best First Novel (1988)",
Neuromancer,"Gibson, William",,,3.89,Ace,Paperback,1984,,,,,fiction science-fiction,,,366000,fiction,Science Fiction,Series volume,The Sprawl Trilogy,1,271,"Hugo, Best Novel (1985); Nebula, Best Novel (1984); Philip K. Dick Award (1984)",
Count Zero,"Gibson, William",,,,Ace,Paperback,1986,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,The Sprawl Trilogy,2,246,,
Mona Lisa Overdrive,"Gibson, William",,,,Bantam,Paperback,1988,,,,,fiction science-fiction,,,,fiction,Science Fiction,Series volume,The Sprawl Trilogy,3,260,,
Metro 2033,"Glukhovsky, Dmitry",,,,Gollancz,Paperback,2005,,,,,fiction science-fiction dystopian horror,,,,fiction,Science Fiction; Dystopian; Horror,Series volume,Metro,1,458,,
Metro 2034,"Glukhovsky, Dmitry",,,,Gollancz,Paperback,2009,,,,,fiction science-fiction dystopian horror,,,,fiction,Science Fiction; Dystopian; Horror,Series volume,Metro,2,288,,
Metro 2035,"Glukhovsky, Dmitry",,,,Gollancz,Paperback,2015,,,,,fiction science-fiction dystopian horror,,,,fiction,Science Fiction; Dystopian; Horror,Series volume,Metro,3,416,,
The Empire Strikes Back,"Glut, Donald F.",,,,Del Rey,Paperback,1980,,,,,fiction science-fiction adventure,,,,fiction,Science Fiction; Adventure,Series volume,Star Wars film novelisations,2,216,,
"Faust, Part One","Goethe, Johann Wolfgang von",,,,,,1808,,,,,fiction classics,,,,fiction,Classics,Series volume,Faust,1,208,,A verse drama; page counts swing widely with translation and whether the German is printed facing.
"Faust, Part Two","Goethe, Johann Wolfgang von",,,,,,1832,,,,,fiction classics,,,,fiction,Classics,Series volume,Faust,2,288,,
Lord of the Flies,"Golding, William",,,,Perigee,Paperback,1954,,,,,fiction classics literary-fiction dystopian,,,,fiction,Classics; Literary Fiction; Dystopian,Standalone,,,224,Author: Nobel Prize in Literature (1983),
Claudius the God,"Graves, Robert",,,,Vintage,Paperback,1935,,,,,fiction historical-fiction classics,,,,fiction,Historical Fiction; Classics,Series volume,Claudius,2,583,"James Tait Black Memorial Prize (1934, shared with I, Claudius)",
"I, Claudius","Graves, Robert",,,,Vintage,Paperback,1934,,,,,fiction historical-fiction classics,,,,fiction,Historical Fiction; Classics,Series volume,Claudius,1,468,James Tait Black Memorial Prize (1934); Hawthornden Prize (1935),
The Big Sky,"Guthrie, A. B., Jr.",,,,Mariner,Paperback,1947,,,,,fiction western historical-fiction adventure,,,,fiction,Western; Historical Fiction; Adventure,Series volume,The Big Sky,1,386,,"The file lists the author as 'Alfred Guthrie'; the writer is A. B. Guthrie, Jr. (Alfred Bertram Guthrie)."
King Solomon's Mines,"Haggard, H. Rider",,,,Oxford,,1885,,,,,fiction adventure classics,,,,fiction,Adventure; Classics,Series volume,Allan Quatermain,1,264,,Also contained inside the Ultimate Collection entry in this library — see the duplicates section.
Ultimate Collection,"Haggard, H. Rider",,,,e-artnow / Musaicum,ebook,2016,,,,,fiction adventure classics short-stories,,,,fiction,Adventure; Classics; Short Stories,Omnibus file,"Multiple (Allan Quatermain, Ayesha, standalone)",60+,5544,,"Confirmed as the e-artnow/Musaicum 'Ultimate Collection: 60+ Works in One Volume', covering the Allan Quatermain series, the Ayesha series, lost-world novels, short stories, essays and the autobiography. It has never been printed, so there is no physical page count, and a full per-title breakdown of 60+ works is not practical. Major components listed below; the remainder are short works and non-fiction."
